timestamp,Close,LagClose,Var,NormVar,PercentChange,Month,Year
2017-03-01,5.68,5.46,0.0031836559139784763,0.012925956995893868,4.029304029304025,3,2017
2017-03-21,5.74,5.91,0.0030965591397849545,0.01256832531237594,-2.8764805414551597,3,2017
2017-03-22,5.5,5.74,0.0015765591397849696,0.006326990154090824,-4.181184668989551,3,2017
2017-08-14,9.5,9.0,0.02279913978494645,0.09346991037132035,5.555555555555555,8,2017
2017-10-09,8.43,9.29,0.004967641129032265,0.020251252814693973,-9.2572658772874,10,2017
2018-01-10,15.25,16.1,0.03349225806451626,0.13737736765420258,-5.279503105590071,1,2018
2018-01-15,14.63,15.5,0.051719999999999614,0.2122230562055719,-5.612903225806447,1,2018
2018-03-06,17.2,18.73,0.12793618951612723,0.5251775188750019,-8.168713294180465,3,2018
2018-06-08,13.47,15.15,0.17531999999999945,0.7197421519713922,-11.089108910891087,6,2018
2018-08-15,15.89,17.2,0.20820989247311916,0.8547927060797482,-7.616279069767434,8,2018
